State/Province,Class,Rating,Events
Alabama,Am,839.9,3.7
Alabama,Pro,929.1,6.4
Alaska,Am,835.5,4.5
Alaska,Pro,917.2,6.3
Arizona,Am,831.7,3.0
Arizona,Pro,928.8,4.6
Arkansas,Am,849.1,3.4
Arkansas,Pro,927.0,6.2
Armed Forces (Americas),Am,802.0,1.0
"Armed Forces (Europe, Canada, Middle Eas",Am,832.0,2.8
"Armed Forces (Europe, Canada, Middle Eas",Pro,919.0,3.7
Armed Forces (Pacific),Am,771.5,2.3
Armed Forces (Pacific),Pro,983.0,1.0
California,Am,856.1,3.1
California,Pro,930.8,5.3
Colorado,Am,844.5,4.1
Colorado,Pro,919.9,6.4
Connecticut,Am,855.5,3.4
Connecticut,Pro,933.8,5.9
Delaware,Am,851.2,3.8
Delaware,Pro,919.4,5.6
District of Columbia,Am,873.1,4.2
District of Columbia,Pro,936.8,6.2
Florida,Am,850.1,3.5
Florida,Pro,929.3,5.4
Georgia,Am,833.8,3.6
Georgia,Pro,928.9,6.1
Hawaii,Am,838.7,1.5
Hawaii,Pro,903.0,1.7
Idaho,Am,850.5,3.7
Idaho,Pro,935.1,6.1
Illinois,Am,841.1,3.6
Illinois,Pro,930.8,6.6
Indiana,Am,839.3,4.0
Indiana,Pro,928.8,6.7
Iowa,Am,853.2,4.5
Iowa,Pro,930.5,7.2
Kansas,Am,849.2,3.6
Kansas,Pro,933.2,6.1
Kentucky,Am,837.3,3.8
Kentucky,Pro,925.4,8.1
Louisiana,Am,839.7,3.7
Louisiana,Pro,917.9,5.7
Maine,Am,858.3,3.8
Maine,Pro,925.1,6.6
Maryland,Am,837.9,3.3
Maryland,Pro,925.9,6.3
Massachusetts,Am,846.5,3.4
Massachusetts,Pro,929.3,7.6
Michigan,Am,849.4,3.5
Michigan,Pro,922.3,6.6
Minnesota,Am,849.0,3.8
Minnesota,Pro,926.8,6.3
Mississippi,Am,846.7,3.0
Mississippi,Pro,930.5,4.8
Missouri,Am,849.8,3.6
Missouri,Pro,929.9,6.8
Montana,Am,865.5,3.8
Montana,Pro,921.4,4.4
Nebraska,Am,837.2,4.6
Nebraska,Pro,910.5,7.2
Nevada,Am,837.9,3.4
Nevada,Pro,926.6,5.2
New Hampshire,Am,845.6,4.3
New Hampshire,Pro,935.2,7.1
New Jersey,Am,839.3,3.6
New Jersey,Pro,920.8,6.9
New Mexico,Am,834.7,3.2
New Mexico,Pro,918.2,4.2
New York,Am,838.2,4.0
New York,Pro,924.2,6.2
North Carolina,Am,848.6,4.0
North Carolina,Pro,937.2,8.2
North Dakota,Am,839.7,2.9
North Dakota,Pro,915.7,3.9
Ohio,Am,841.5,3.8
Ohio,Pro,920.0,6.7
Oklahoma,Am,842.7,3.9
Oklahoma,Pro,926.1,6.6
Oregon,Am,851.4,3.9
Oregon,Pro,934.0,7.6
Pennsylvania,Am,846.2,3.8
Pennsylvania,Pro,921.8,7.7
Rhode Island,Am,851.9,2.8
Rhode Island,Pro,934.7,6.4
South Carolina,Am,844.7,3.7
South Carolina,Pro,933.6,6.8
South Dakota,Am,848.4,4.3
South Dakota,Pro,926.1,7.6
Tennessee,Am,847.9,3.7
Tennessee,Pro,929.4,6.1
Texas,Am,847.6,4.0
Texas,Pro,922.8,7.5
Utah,Am,840.5,3.9
Utah,Pro,925.4,7.4
Vermont,Am,847.6,4.1
Vermont,Pro,921.6,7.4
Virginia,Am,837.4,4.0
Virginia,Pro,928.6,7.7
Washington,Am,847.3,3.8
Washington,Pro,924.5,6.8
West Virginia,Am,837.0,4.3
West Virginia,Pro,921.5,6.4
Wisconsin,Am,846.6,3.6
Wisconsin,Pro,930.5,6.1
Wyoming,Am,830.9,3.9
Wyoming,Pro,927.7,6.0
